Plot,Location,Env,Rep,Block,Genotype,Planting_date,DTF,DTM,PH,LPH
1207,WPR_2022,1,1,8,PI211602,2/1/2022,91,116,26,15
1208,WPR_2022,1,1,8,PI518731,2/1/2022,85,116,32.7,15.7
1209,WPR_2022,1,1,8,PI299164,2/1/2022,80,114,26.7,15
1210,WPR_2022,1,1,8,PI471917,2/1/2022,82,117,30,17
1211,WPR_2022,1,1,8,W627766,2/1/2022,77,95,30,6.7
1212,WPR_2022,1,1,8,PI238758,2/1/2022,80,117,33,16.7
1213,WPR_2022,1,1,7,PI472122,2/1/2022,77,99,28,4.3
1214,WPR_2022,1,1,7,PI299289,2/1/2022,85,117,25.7,8.3
1215,WPR_2022,1,1,7,PI431624,2/1/2022,87,115,23.3,9.7
1216,WPR_2022,1,1,7,PI432071,2/1/2022,82,114,28.7,13
1217,WPR_2022,1,1,6,PI432259,2/1/2022,82,115,30.7,15.7
1218,WPR_2022,1,1,6,ILL589,2/1/2022,87,116,20.7,12.7
1219,WPR_2022,1,1,6,PI431630,2/1/2022,91,119,24.7,14.7
1220,WPR_2022,1,1,6,PI273664,2/1/2022,77,105,26.7,5.5
1222,WPR_2022,1,1,5,ILL344,2/1/2022,82,116,29,17.3
1223,WPR_2022,1,1,5,PI472458,2/1/2022,77,102,19.7,2.7
1224,WPR_2022,1,1,5,PI343026,2/1/2022,80,114,31.7,19
1225,WPR_2022,1,1,5,PI533688,2/1/2022,85,116,30,17.3
1226,WPR_2022,1,1,5,PI472590,2/1/2022,77,103,29.3,13
1227,WPR_2022,1,1,5,PI533690,2/1/2022,87,113,32.3,13
1228,WPR_2022,1,1,5,PI476365,2/1/2022,82,116,34.3,12.7
1229,WPR_2022,1,1,6,PI472562,2/1/2022,77,98,25,7.7
1230,WPR_2022,1,1,6,PI297754,2/1/2022,82,113,28,16.7
1231,WPR_2022,1,1,6,PI431987,2/1/2022,80,115,25.3,6.7
1232,WPR_2022,1,1,6,PI431824,2/1/2022,82,115,23,15.3
